# airbench94.py Training Results
# CIFAR-10 Image Classification Benchmark
# Log file: logs/8953448b-a7fa-4ae7-a6bc-f0edf65f5f81/log.pt

------------------------------------------------------------------------------------------------------
|   Epoch  |   Step  |      Loss  |  Train Acc |  Batch Acc |    Eval Acc |   Time (s)          |
|          |      5  |      1.1133  |     0.8896  |   0.8441  |             |              2.7180  |
|          |      6  |      1.0508  |     0.9229  |   0.8952  |             |              3.1534  |
|          |      7  |      1.0156  |     0.9365  |   0.9049  |             |              3.5892  |
|          |      8  |      0.9624  |     0.9629  |   0.9258  |             |              4.0244  |
|          |      9  |      0.9492  |     0.9697  |   0.9365  |             |              4.4245  |
|          |   eval  |      0.9492  |     0.9697  |   0.9365  |     0.9439  |              4.6015  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.3867  |     0.7256  |   0.6898  |             |              0.4743  |
|          |      1  |      1.3262  |     0.7676  |   0.5410  |             |              0.9424  |
|          |      2  |      1.2227  |     0.8154  |   0.7692  |             |              1.4099  |
|          |      3  |      1.1221  |     0.8828  |   0.7931  |             |              1.8459  |
|          |      4  |      1.1289  |     0.8750  |   0.7717  |             |              2.2812  |
|          |      5  |      1.0986  |     0.8877  |   0.8584  |             |              2.7170  |
|          |      6  |      1.0361  |     0.9258  |   0.8985  |             |              3.1528  |
|          |      7  |      1.0225  |     0.9355  |   0.9047  |             |              3.5897  |
|          |      8  |      0.9731  |     0.9580  |   0.9259  |             |              4.0254  |
|          |      9  |      0.9526  |     0.9746  |   0.9358  |             |              4.4255  |
|          |   eval  |      0.9526  |     0.9746  |   0.9358  |     0.9427  |              4.6025  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4922  |     0.6650  |   0.6214  |             |              0.4744  |
|          |      1  |      1.2900  |     0.7900  |   0.7379  |             |              0.9429  |
|          |      2  |      1.2090  |     0.8389  |   0.7984  |             |              1.4111  |
|          |      3  |      1.1465  |     0.8652  |   0.7476  |             |              1.8476  |
|          |      4  |      1.1377  |     0.8643  |   0.8588  |             |              2.2834  |
|          |      5  |      1.1123  |     0.8965  |   0.8630  |             |              2.7198  |
|          |      6  |      1.0391  |     0.9150  |   0.8868  |             |              3.1556  |
|          |      7  |      1.0273  |     0.9209  |   0.8971  |             |              3.5919  |
|          |      8  |      0.9766  |     0.9561  |   0.9182  |             |              4.0276  |
|          |      9  |      0.9409  |     0.9746  |   0.9306  |             |              4.4280  |
|          |   eval  |      0.9409  |     0.9746  |   0.9306  |     0.9408  |              4.6052  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4111  |     0.7178  |   0.5587  |             |              0.4783  |
|          |      1  |      1.2305  |     0.8223  |   0.7660  |             |              0.9469  |
|          |      2  |      1.1826  |     0.8486  |   0.7951  |             |              1.4150  |
|          |      3  |      1.1436  |     0.8691  |   0.8473  |             |              1.8518  |
|          |      4  |      1.1221  |     0.8818  |   0.8603  |             |              2.2878  |
|          |      5  |      1.1016  |     0.8916  |   0.8502  |             |              2.7240  |
|          |      6  |      1.0361  |     0.9277  |   0.8865  |             |              3.1602  |
|          |      7  |      1.0254  |     0.9287  |   0.8988  |             |              3.5972  |
|          |      8  |      0.9736  |     0.9609  |   0.9166  |             |              4.0331  |
|          |      9  |      0.9360  |     0.9795  |   0.9328  |             |              4.4339  |
|          |   eval  |      0.9360  |     0.9795  |   0.9328  |     0.9420  |              4.6111  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4434  |     0.6973  |   0.6884  |             |              0.4761  |
|          |      1  |      1.2461  |     0.8213  |   0.7583  |             |              0.9456  |
|          |      2  |      1.1641  |     0.8633  |   0.8148  |             |              1.4138  |
|          |      3  |      1.1436  |     0.8750  |   0.8291  |             |              1.8502  |
